Team,Team ID
Gentle Mates,12694
EDward Gaming,1120
Xi Lai Gaming,13581
NRG,1034
G2 Esports,11058
Paper Rex,624
T1,14
Team Liquid,474
FURIA,2406
Nongshim RedForce,11060
BBL Esports,397
All Gamers,1119
ENVY,427
Evil Geniuses,5248
LOUD,6961
Cloud9,188
KRÜ Esports,2355
100 Thieves,120
LEVIATÁN,2359
MIBR,7386
Sentinels,2
Natus Vincere,4915
Karmine Corp,8877
FUT Esports,1184
PCIFIC Esports,3478
ULF Esports,18019
Team Vitality,2059
Team Heretics,1001
GIANTX,14419
FNATIC,2593
Team Secret,6199
ZETA DIVISION,5448
FULL SENSE,4050
VARREL,11229
Global Esports,918
DetonatioN FocusMe,278
Gen.G,17
DRX,8185
Rex Regum Qeon,878
Trace Esports,12685
Wolves Esports,13790
FunPlus Phoenix,11328
TYLOO,731
Nova Esports,12064
JDG Esports,13576
Titan Esports Club,14137
Bilibili Gaming,12010
Dragon Ranger Gaming,11981
